"player_id","match_id","kills","deaths","creep_score","gold_per_min","tower_kills","roshan_kills","team_fight","obs_wards_planted","camps_stacked","runes_grabbed","first_blood","stuns","total"
117089283,6148045022,0.3,0.3,0.111,0.512,0,0,1.29729732,8,0,0.75,0,0,11.27029732
352623024,6148045022,3.6,0.3,0.639,0.78,0,0,2.1891891,0,0,0.5,0,3.010862,11.0190511
352545711,6148045022,3,1.2,1.257,1.054,0,0,2.4324324,0.5,1.5,6.75,0,6.12474175,23.81817415
155332459,6148045022,0.6,1.8,0.495,0.694,0,0,1.9459458,4,4.5,0.75,0,0.395063065,15.180008865
339235645,6148045022,3.6,0,1.833,1.422,4,2,1.4594595,0,0.5,1.5,4,0,20.3144595
38628747,6148045022,1.5,0.6,0.576,0.798,0,0,2.2894737,1,4,1.5,0,4.0597168,16.3231905
238239590,6148045022,2.7,1.5,1.137,1.126,0,1,2.76315789,0,1,1.5,0,1.6003906,14.32654849
126212866,6148045022,4.5,-0.3,1.137,1.218,0,0,2.9210526,0,0,1.75,0,2.6335491,13.8596017
145550466,6148045022,0.6,0,0.264,0.738,0,0,2.52631581,12.5,2,0.25,0,0.8265208,19.70483661
97658618,6148045022,2.1,2.1,1.38,1.214,6,1,1.8157896,0,1,1.75,0,1.3303379,19.6901275
117089283,6148001519,1.5,0.3,0.159,0.54,0,0,2.14285719,2.5,1.5,0.25,0,0,8.89185719
352623024,6148001519,0.9,0.3,0.468,0.674,0,0,2.14285719,0,0,1.25,0,2.2275475,7.96240469
352545711,6148001519,1.5,0.6,0.735,0.93,2,1,2.57142861,1,0,2.5,0,2.79496365,15.63139226
155332459,6148001519,0.6,-0.6,0.03,0.436,0,0,1.85714292,5.5,1.5,0.5,0,4.6682095,14.49135242
339235645,6148001519,1.8,2.4,1.368,1.364,2,0,1.57142865,0,2,1.5,0,0.66058255,14.6640112
38628747,6148001519,1.8,2.1,0.495,0.862,2,0,2.55,2,1.5,0.75,4,2.9269275,20.9839275
238239590,6148001519,5.1,2.1,0.651,1.04,1,0,2.55,0,1,2.5,0,1.26152345,17.20252345
126212866,6148001519,0.9,0.3,0.591,0.938,0,0,1.875,0,0,0.5,0,2.9812485,8.0852485
145550466,6148001519,1.2,1.8,0.234,0.748,0,0,1.5,7.5,7,0.75,0,0,20.732
97658618,6148001519,2.7,2.4,1.302,1.434,4,1,1.575,0,0,1.25,0,0.2006836,15.8616836
192120253,6268581039,2.1,-0.9,0.15,0.81,0,0,1.76785719,10,0,0.5,0,0,14.42785719
92706637,6268581039,2.1,-0.6,0.939,1.074,1,0,1.92857139,0.5,0,3.75,0,1.33305665,12.02462804
86850560,6268581039,2.4,0.6,0.705,1,1,0,1.875,2,1,2.75,0,0,13.33
94364925,6268581039,7.5,0.9,1.902,1.858,2,3,2.30357139,0,3,3.25,0,3.62085725,29.33442864
125845797,6268581039,2.4,-0.9,0.633,0.992,1,0,2.0357142,0,1,0.25,4,4.841242,16.2519562
125995177,6268581039,1.2,-1.5,0.072,0.59,0,0,1.9811322,11,3,1,0,7.106617,24.4497492
345072645,6268581039,6.6,-0.3,1.452,1.41,4,1,2.0943396,0,2,0.75,0,3.2821695,22.2885091
138177198,6268581039,2.7,-0.6,1.137,1.084,0,0,2.7169812,0,0.5,0.5,0,2.2189001,10.2568813
1031547092,6268581039,3.3,0.9,0.807,0.98,0,0,1.9245282,1,0.5,1,0,5.373185,15.7847132
116293223,6268581039,2.1,-0.3,1.071,1.03,1,0,1.9245282,1,0.5,3,0,0.33379638,11.65932458
125995177,6268541849,0.9,1.8,0.18,0.664,0,0,1.7027028,6.5,1,0.25,4,1.6372645,18.6339673
1031547092,6268541849,0.6,2.1,0.228,0.626,0,0,1.5405405,1.5,1,0.75,0,2.52083875,10.86537925
138177198,6268541849,2.1,2.1,0.819,1.032,1,0,1.7027028,0,1,0.75,0,1.2880926,11.7917954
345072645,6268541849,4.2,2.7,1.143,1.534,6,1,1.8648648,0,0.5,1.25,0,2.51058615,22.70245095
116293223,6268541849,3.3,2.7,0.627,1.05,0,1,1.5405405,1,0,3.5,0,0.75377195,15.47131245
86850560,6268541849,0.6,1.2,0.402,0.614,0,0,1.5,3,5,1,0,0,13.316
92706637,6268541849,1.2,1.2,0.549,0.812,0,0,2.25,1,1,2,0,4.264486,14.275486
125845797,6268541849,0.3,0,0.492,0.654,0,0,1.24999998,0,0,0.25,0,0.13374634,3.07974632
94364925,6268541849,1.5,1.8,1.062,1.168,1,0,2.25,0,1,0,0,0,9.78
192120253,6268541849,0,-0.3,0.072,0.36,0,0,2.0000001,4.5,1.5,1,0,2.30254515,11.43454525
94364925,6265572761,0.9,1.2,0.246,0.652,0,0,1.5,0,1,0,0,0,5.498
86850560,6265572761,0.6,0.9,0.12,0.466,0,0,1.24999998,2,1,0.5,0,0.5641986,7.40019858
125845797,6265572761,0,0.3,0.171,0.438,0,0,0.75,0,0,0,0,0.5032837,2.1622837
133167741,6265572761,1.2,0.3,0.498,0.788,0,1,1.5,0.5,1,2,0,0.41489135,9.20089135
192120253,6265572761,0.6,0,0.051,0.404,0,0,1.5,2,0,0.25,0,1.07332765,5.87832765
186837494,6265572761,2.1,1.8,0.111,0.65,0,0,1.6097562,1.5,0,1,4,0.7598218,13.530578
185202677,6265572761,2.7,2.7,0.48,1.106,1,0,1.5365853,0,0,0.25,0,0.6917443,10.4643296
59463394,6265572761,3,2.7,0.249,0.914,1,0,1.75609749,1,0.5,0.75,0,3.0348665,14.90396399
349310876,6265572761,2.4,1.5,0.048,0.664,0,0,2.04878049,2.5,0.5,1.25,0,0,10.91078049
407321629,6265572761,2.1,2.7,0.525,1.106,2,0,1.02439026,0,0,0.5,0,0,9.95539026
155332459,6257026526,1.8,1.2,0.09,0.594,0,0,2.0000001,2,0,0.5,0,3.5063415,11.6903416
352623024,6257026526,1.5,2.1,0.402,0.88,3,0,2.29999995,0,0,2,0,1.77425365,13.9562536
352545711,6257026526,1.8,1.5,0.564,1.064,0,0,1.8,1,0,1,0,3.58286,12.31086
117089283,6257026526,0.6,0.3,0.072,0.53,0,0,1.5,4.5,1.5,1.25,4,0,14.252
339235645,6257026526,3.3,1.5,0.918,1.434,5,1,2.0000001,0,1,0.25,0,0.133792975,16.535793075
94364925,6257026526,1.2,1.8,0.819,0.984,2,0,1.60714281,0,0.5,0.25,0,0.7811571,9.94129991
86850560,6257026526,2.1,0.9,0.195,0.622,0,0,1.82142861,2,2,1.25,0,1.4718498,12.36027841
125845797,6257026526,0.6,0.6,0.381,0.598,0,0,1.60714281,0,0,0.5,0,2.64042685,6.92656966
133167741,6257026526,3.6,2.1,0.756,1.046,0,0,2.35714281,0.5,0.5,2.25,0,3.5773262,16.68646901
192120253,6257026526,0.3,0.6,0.057,0.388,0,0,1.7142858,5,1,0.75,0,0,9.8092858
133167741,6256982953,1.5,0.9,0.528,0.822,0,0,2.18181825,1,0.5,1.75,0,0,9.18181825
86850560,6256982953,0.6,1.2,0.162,0.518,0,0,2.18181825,2.5,2.5,1,4,0,14.66181825
125845797,6256982953,0.3,0.6,0.354,0.702,0,0,1.36363641,0,0,0.5,0,1.7082405,5.52787691
94364925,6256982953,0.6,1.8,0.705,0.932,0,0,1.09090911,0,3,0.5,0,1.07855225,9.70646136
192120253,6256982953,0.3,-0.6,0.075,0.406,0,0,1.63636368,3,0,0.75,0,0.77287535,6.34023903
155332459,6256982953,0.3,1.8,0.06,0.52,0,0,2.48571432,2,4,0.75,0,0,11.91571432
352623024,6256982953,1.2,2.4,0.39,0.818,0,0,1.88571435,0,0,0.75,0,1.8112155,9.25492985
352545711,6256982953,2.4,2.4,0.762,1.252,4,0,1.62857151,0.5,1.5,2.25,0,1.11314085,17.80571236
117089283,6256982953,1.2,2.4,0.081,0.572,0,0,1.4571429,4,2,0.25,0,3.6380555,15.5981984
339235645,6256982953,5.7,2.7,0.927,1.574,2,1,2.3142858,0,0.5,0.25,0,1.76604615,18.73133195
133167741,6255304221,2.1,2.1,0.678,0.89,0,0,2.4999999,1,0.5,2.75,0,0.6461633,13.1641632
86850560,6255304221,0.9,0.9,0.201,0.548,0,0,2.1666666,2,2.5,0.5,0,12.6432465,22.3589131
194521913,6255304221,0.6,1.8,0.672,0.746,0,0,1.33333335,0,0,0.25,0,1.44819765,6.849531
